variant,canonical
Al-Ghareeb M.,Al Ghareeb M.
Almagro N. ,Almagro N.
Andreev I. ,Andreev I.
Aragone JC,Aragone J.C.
Bautista R.,Bautista Agut R.
Bautista R. ,Bautista Agut R.
Beck A. ,Beck A.
Becker B. ,Becker B.
Benneteau J. ,Benneteau J.
Berdych T. ,Berdych T.
Berrettini M. ,Berrettini M.
Blake J. ,Blake J.
Bogomolov Jr.A.,Bogomolov Jr. A.
Bohli S. ,Bohli S.
Bolelli S. ,Bolelli S.
Carreno-Busta P.,Carreno Busta P.
Chardy J. ,Chardy J.
Chiudinelli M. ,Chiudinelli M.
Cilic M. ,Cilic M.
Cuevas P. ,Cuevas P.
Davydenko N. ,Davydenko N.
Dedura-Palomero D.,Dedura D.
De Heart R.,Deheart R.
Del Potro J. M.,Del Potro J.M.
Del Bonis F.,Delbonis F.
Dev Varman S.,Devvarman S.
Djokovic N. ,Djokovic N.
Estrella V.,Estrella Burgos V.
Falla A. ,Falla A.
Federer R. ,Federer R.
Ferrer D. ,Ferrer D.
Ferrero J.C. ,Ferrero J.C.
Gallardo Valles M.,Gallardo M.
Gambill J. M.,Gambill J.M.
Garcia-Lopez G. ,Garcia-Lopez G.
Gasquet R. ,Gasquet R.
Gimeno D.,Gimeno-Traver D.
Gimeno-Traver D. ,Gimeno-Traver D.
Gonzalez F. ,Gonzalez F.
Granollers M. ,Granollers M.
Granollers-Pujol M.,Granollers M.
Granollers G.,Granollers-Pujol G.
Granollers Pujol G.,Granollers-Pujol G.
Greul S. ,Greul S.
 Hajek J.,Hajek J.
Hanescu V. ,Hanescu V.
Herbert P-H.,Herbert P.H.
Herbert P.H,Herbert P.H.
Hernandez-Fernandez J,Hernandez-Fernandez J.
Hernych J. ,Hernych J.
Isner J. ,Isner J.
Karlovic I. ,Karlovic I.
Kim K,Kim K.
Koellerer D. ,Koellerer D.
Kohlschreiber P. ,Kohlschreiber P.
Kohlschreiber P..,Kohlschreiber P.
Korolev E. ,Korolev E.
Kunitsyn I. ,Kunitsyn I.
Lammer M. ,Lammer M.
Ljubicic I. ,Ljubicic I.
Lopez F. ,Lopez F.
Luczak P. ,Luczak P.
Marin J.A,Marin J.A.
Martin A. ,Martin A.
Mathieu P.H. ,Mathieu P.H.
Mayer L. ,Mayer L.
McCabe J.,Mccabe J.
McClune M.,Mcclune M.
McDonald M.,Mcdonald M.
Medvedev D. ,Medvedev D.
Monaco J. ,Monaco J.
Monfils G. ,Monfils G.
Montanes A. ,Montanes A.
Mpetshi Perricard G.,Mpetshi G.
Munoz De La Nava D.,Munoz-De La Nava D.
Munoz de La Nava D.,Munoz-De La Nava D.
Munoz de la Nava D.,Munoz-De La Nava D.
Murray A. ,Murray A.
Nadal R. ,Nadal R.
Nadal-Parera R.,Nadal R.
Nieminen J. ,Nieminen J.
O'Connell C.,O Connell C.
Petzschner P. ,Petzschner P.
Ramirez Hidalgo R.,Ramirez-Hidalgo R.
Ramos A.,Ramos-Vinolas A.
Riba-Madrid P.,Riba P.
Robredo T. ,Robredo T.
Rochus C. ,Rochus C.
Rochus O. ,Rochus O.
Sanchez J.,Sanchez De Luna J.
Schuettler R. ,Schuettler R.
Seppi A. ,Seppi A.
Serra F. ,Serra F.
Simon G. ,Simon G.
Stebe C-M.,Stebe C.M.
Stepanek R. ,Stepanek R.
Struff J-L.,Struff J.L.
Thiem D. ,Thiem D.
Tipsarevic J. ,Tipsarevic J.
Tirante T. A.,Tirante T.A.
Troicki V. ,Troicki V.
Tseng C. H.,Tseng C.H.
Tsitsipas S. ,Tsitsipas S.
Van der Merwe I.,Van Der Merwe I.
Varillas J. P.,Varillas J.P.
Vassallo-Arguello M. ,Vassallo-Arguello M.
Verdasco F. ,Verdasco F.
Wawrinka S. ,Wawrinka S.
Youzhny M. ,Youzhny M.
Zayid M. S.,Zayid M.S.
Zeballos H. ,Zeballos H.
Zverev A. ,Zverev A.
De Chaunac S.,de Chaunac S.
De Voest R.,de Voest R.
Di Mauro A.,di Mauro A.
Di Pasquale A.,di Pasquale A.
Van Lottum J.,van Lottum J.
